#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
263839	852495	948461	32893	852757	YBR196C	b3962	PGI1	sthA	CDC30|glucose-6-phosphate isomerase|L000001410|L000001409	ECK3954|JW5551|sth|udhA	Synthetic Rescue	genetic	Heux S (2008)	PUBMED:18036177	559292	511145	Low Throughput	-	-	Expression of the E. coli transhydrogenase Udha/sthA can partially restore the growth of the ENYpgi1 yeast mutant on glucose.|S. cerevisiae does not have a functional ortholog of the E. coli transhydrogenase UdhA/sthA.  This was not a cross-species complementation experiment.	-	BIOGRID	P12709	-	NP_009755	P27306	-	NP_418397	APO:0000094	metabolism and growth	phenotype	-	-	partial rescue	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
338619	2541704	948559	278199	852853	SPAC1250.04c	b4058	atl1	uvrA	-	ECK4050|JW4019|dar	Far Western	physical	Tubbs JL (2009)	PUBMED:19516334	284812	511145	Low Throughput	-	-	-	-	BIOGRID	Q9UTN9	-	NP_594858	P0A698	-	NP_418482	-	-	-	-	-	-	Schizosaccharomyces pombe (972h)	Escherichia coli (K12/MG1655)
343119	851775	947055	32246	851393	YDR194C	b2576	MSS116	srmB	L000001206	ECK2574|JW2560|rbaB|rhlA	Phenotypic Suppression	genetic	Del Campo M (2009)	PUBMED:19393667	559292	511145	Low Throughput	-	-	Overexpression of SRMB rescues the splicing defect of MSS116 mutants	-	BIOGRID	P15424	-	NP_010480	P21507	-	NP_417071	APO:0000271	RNA modification	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
344103	851493	947092	31993	851428	YDL066W	b2615	IDP1	nadK	isocitrate dehydrogenase (NADP(+)) IDP1|L000000852	ECK2611|JW2596|yfjB|yfjE	Dosage Rescue	genetic	Miyagi H (2009)	PUBMED:19158096	559292	511145	Low Throughput	-	-	overexpression of YfjB alleviates the sensitivity to oxidizing agents in IDP1 mutants	-	BIOGRID	P21954	-	NP_010217	P0A7B3	-	NP_417105	APO:0000111	viability	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
344105	853839	947092	34102	851428	YKL029C	b2615	MAE1	nadK	malate dehydrogenase (oxaloacetate-decarboxylating)|L000003506	ECK2611|JW2596|yfjB|yfjE	Dosage Rescue	genetic	Miyagi H (2009)	PUBMED:19158096	559292	511145	Low Throughput	-	-	Overexpression of YfjB rescues sensitivity to oxidizing agents in MAE1/POS5 double mutants	-	BIOGRID	P36013	-	NP_012896	P0A7B3	-	NP_417105	APO:0000083	oxidative stress resistance	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
344106	855913	947092	35995	851428	YPL188W	b2615	POS5	nadK	L000002651	ECK2611|JW2596|yfjB|yfjE	Dosage Rescue	genetic	Miyagi H (2009)	PUBMED:19158096	559292	511145	Low Throughput	-	-	Overexpression of YfjB rescues sensitivity to oxidizing agents in MAE1/POS5 double mutants	-	BIOGRID	Q06892	-	NP_015136	P0A7B3	-	NP_417105	APO:0000083	oxidative stress resistance	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
344110	856804	947092	36816	851428	YER073W	b2615	ALD5	nadK	aldehyde dehydrogenase (NAD(P)(+)) ALD5|L000004949	ECK2611|JW2596|yfjB|yfjE	Dosage Rescue	genetic	Miyagi H (2009)	PUBMED:19158096	559292	511145	Low Throughput	-	-	Overexpression of YfjB alleviates the sensitivity to oxidizing agents of ALD5/POS5 double mutants	-	BIOGRID	P40047	-	NP_010996	P0A7B3	-	NP_417105	APO:0000083	oxidative stress resistance	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
348088	945556	853664	849930	33949	b0945	YKL216W	pyrD	URA1	ECK0936|JW0928	dihydroorotate dehydrogenase|L000002430	Synthetic Lethality	genetic	Deutscher D (2006)	PUBMED:16941010	511145	559292	Low Throughput	-	-	genetic complex	-	BIOGRID	P0A7E1	-	NP_415465	P28272	-	NP_012706	APO:0000112	inviable	phenotype	-	-	-	Escherichia coli (K12/MG1655)	Saccharomyces cerevisiae (S288c)
349579	854942	947447	35106	851767	YML060W	b2961	OGG1	mutY	8-oxoguanine glycosylase OGG1|L000003339	ECK2956|JW2928|micA|mutB	Phenotypic Suppression	genetic	van der Kemp PA (2009)	PUBMED:19264809	559292	511145	Low Throughput	-	-	expression of E. coli mutY reduces mutation rates in an OGG1/RAD18 or OGG1/POL30 double mutant	-	BIOGRID	P53397	-	NP_013651	P17802	-	NP_417436	APO:0000198	mutation frequency	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
349580	850430	947447	31042	851767	YCR066W	b2961	RAD18	mutY	E3 ubiquitin-protein ligase RAD18|L000001567	ECK2956|JW2928|micA|mutB	Phenotypic Suppression	genetic	van der Kemp PA (2009)	PUBMED:19264809	559292	511145	Low Throughput	-	-	expression of E. coli mutY reduces mutation rates in an OGG1/RAD18 or OGG1/POL30 double mutant	-	BIOGRID	P10862	-	NP_009992	P17802	-	NP_417436	APO:0000198	mutation frequency	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
349581	852385	947447	32794	851767	YBR088C	b2961	POL30	mutY	proliferating cell nuclear antigen|PCNA|L000001463	ECK2956|JW2928|micA|mutB	Phenotypic Suppression	genetic	van der Kemp PA (2009)	PUBMED:19264809	559292	511145	Low Throughput	-	-	expression of E. coli mutY reduces mutation rates in an OGG1/RAD18 or OGG1/POL30 double mutant	-	BIOGRID	P15873	-	NP_009645	P17802	-	NP_417436	APO:0000198	mutation frequency	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
