#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
482679	951475	4869	1205534	110929	HCVgp1	-	HCVgp1	NPM1	-	B23|NPM	Affinity Capture-Western	physical	Mai RT (2006)	PUBMED:16170350	11103	9606	Low Throughput	-	-	-	-	BIOGRID	-	-	NP_671491	P06748	-	NP_001032827|NP_954654|NP_001341938|NP_001341939|NP_001341935|NP_002511|NP_001341936	-	-	-	-	-	-	Hepatitus C Virus	Homo sapiens
482680	4869	951475	110929	1205534	-	HCVgp1	NPM1	HCVgp1	B23|NPM	-	Reconstituted Complex	physical	Mai RT (2006)	PUBMED:16170350	9606	11103	Low Throughput	-	-	-	-	BIOGRID	P06748	-	NP_001032827|NP_954654|NP_001341938|NP_001341939|NP_001341935|NP_002511|NP_001341936	-	-	NP_671491	-	-	-	-	-	-	Homo sapiens	Hepatitus C Virus
482681	951475	4869	1205534	110929	HCVgp1	-	HCVgp1	NPM1	-	B23|NPM	Co-fractionation	physical	Mai RT (2006)	PUBMED:16170350	11103	9606	Low Throughput	-	-	-	-	BIOGRID	-	-	NP_671491	P06748	-	NP_001032827|NP_954654|NP_001341938|NP_001341939|NP_001341935|NP_002511|NP_001341936	-	-	-	-	-	-	Hepatitus C Virus	Homo sapiens
482682	951475	7528	1205534	113360	HCVgp1	-	HCVgp1	YY1	-	DELTA|INO80S|NF-E1|UCRBP|YIN-YANG-1	Co-fractionation	physical	Mai RT (2006)	PUBMED:16170350	11103	9606	Low Throughput	-	-	-	-	BIOGRID	-	-	NP_671491	P25490	-	NP_003394	-	-	-	-	-	-	Hepatitus C Virus	Homo sapiens
482683	951475	4869	1205534	110929	HCVgp1	-	HCVgp1	NPM1	-	B23|NPM	Reconstituted Complex	physical	Mai RT (2006)	PUBMED:16170350	11103	9606	Low Throughput	-	-	-	-	BIOGRID	-	-	NP_671491	P06748	-	NP_001032827|NP_954654|NP_001341938|NP_001341939|NP_001341935|NP_002511|NP_001341936	-	-	-	-	-	-	Hepatitus C Virus	Homo sapiens
482684	951475	7528	1205534	113360	HCVgp1	-	HCVgp1	YY1	-	DELTA|INO80S|NF-E1|UCRBP|YIN-YANG-1	Reconstituted Complex	physical	Mai RT (2006)	PUBMED:16170350	11103	9606	Low Throughput	-	-	-	-	BIOGRID	-	-	NP_671491	P25490	-	NP_003394	-	-	-	-	-	-	Hepatitus C Virus	Homo sapiens
482686	7528	951475	113360	1205534	-	HCVgp1	YY1	HCVgp1	DELTA|INO80S|NF-E1|UCRBP|YIN-YANG-1	-	Affinity Capture-Western	physical	Mai RT (2006)	PUBMED:16170350	9606	11103	Low Throughput	-	-	-	-	BIOGRID	P25490	-	NP_003394	-	-	NP_671491	-	-	-	-	-	-	Homo sapiens	Hepatitus C Virus
482688	951475	2033	1205534	108347	HCVgp1	RP1-85F18.1	HCVgp1	EP300	-	KAT3B|RSTS2|p300	Reconstituted Complex	physical	Mai RT (2006)	PUBMED:16170350	11103	9606	Low Throughput	-	-	ChIP, etg951475 is HCV Core protein	-	BIOGRID	-	-	NP_671491	Q09472	Q7Z6C1	NP_001349772|NP_001420	-	-	-	-	-	-	Hepatitus C Virus	Homo sapiens
482689	2033	951475	108347	1205534	RP1-85F18.1	HCVgp1	EP300	HCVgp1	KAT3B|RSTS2|p300	-	Affinity Capture-Western	physical	Mai RT (2006)	PUBMED:16170350	9606	11103	Low Throughput	-	-	ChIP, etg951475 is HCV Core protein	-	BIOGRID	Q09472	Q7Z6C1	NP_001349772|NP_001420	-	-	NP_671491	-	-	-	-	-	-	Homo sapiens	Hepatitus C Virus
557310	951475	7337	1205534	113185	HCVgp1	-	HCVgp1	UBE3A	-	ANCR|AS|E6-AP|EPVE6AP|HPVE6A	Affinity Capture-MS	physical	Shirakura M (2007)	PUBMED:17108031	11103	9606	Low Throughput	-	-	-	-	BIOGRID	-	-	NP_671491	Q05086	Q9H2G0|Q9BUI6	NP_570854|NP_000453|NP_001341438|NP_001341435|NP_001341434|NP_001341437|NP_001341436|NP_001341475|NP_001341474|NP_001341477|NP_001341476|NP_001341471|NP_001341470|NP_001341473|NP_001341472|NP_001341455|NP_001341479|NP_001341452|NP_001341480|NP_001341478|NP_001361390|NP_001341467|NP_001341468|NP_001341469|NP_570853|NP_001341440|NP_001341441|NP_001341442	-	-	-	-	-	-	Hepatitus C Virus	Homo sapiens
