#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
2758428	1489424	311	4263570	106808	HpV32gp1	RP11-369J21.10-010	E6	ANXA11	-	ANX11|CAP50	Two-hybrid	physical	Neveu G (2012)	PUBMED:22898364	333763	9606	High Throughput	-	-	-	-	BIOGRID	P36810	-	NP_041801	P50995	Q5T0G8	NP_001148|NP_665876|NP_665875|NP_001265338|NP_001265337|NP_001265336	-	-	-	-	-	-	Human papillomavirus (32)	Homo sapiens
2758429	1489424	11319	4263570	116450	HpV32gp1	-	E6	ECD	-	GCR2|HSGT1	Two-hybrid	physical	Neveu G (2012)	PUBMED:22898364	333763	9606	High Throughput	-	-	-	-	BIOGRID	P36810	-	NP_041801	O95905	-	NP_001129224|NP_001129225|NP_009196	-	-	-	-	-	-	Human papillomavirus (32)	Homo sapiens
2758434	1489424	55201	4263570	120498	HpV32gp1	-	E6	MAP1S	-	BPY2IP1|C19orf5|MAP8|VCY2IP-1|VCY2IP1	Two-hybrid	physical	Neveu G (2012)	PUBMED:22898364	333763	9606	High Throughput	-	-	-	-	BIOGRID	P36810	-	NP_041801	Q66K74	-	NP_060644|NP_001295292	-	-	-	-	-	-	Human papillomavirus (32)	Homo sapiens
2758442	1489424	301	4263570	106798	HpV32gp1	RP11-71A24.1	E6	ANXA1	-	ANX1|LPC1	Two-hybrid	physical	Neveu G (2012)	PUBMED:22898364	333763	9606	High Throughput	-	-	-	-	BIOGRID	P36810	-	NP_041801	P04083	Q5TZZ9	NP_000691	-	-	-	-	-	-	Human papillomavirus (32)	Homo sapiens
2758476	1489424	402	4263570	106895	HpV32gp1	-	E6	ARL2	-	ARFL2	Two-hybrid	physical	Neveu G (2012)	PUBMED:22898364	333763	9606	High Throughput	-	-	-	-	BIOGRID	P36810	-	NP_041801	P36404	Q53YD8	NP_001186674|NP_001658	-	-	-	-	-	-	Human papillomavirus (32)	Homo sapiens
2758481	1489425	2023	4263571	108338	HpV32gp2	-	E7	ENO1	-	ENO1L1|MPB1|NNE|PPH	Two-hybrid	physical	Neveu G (2012)	PUBMED:22898364	333763	9606	High Throughput	-	-	-	-	BIOGRID	P36827	-	NP_041802	P06733	A0A024R4F1|E2DRY6	NP_001188412|NP_001419|NP_001340275	-	-	-	-	-	-	Human papillomavirus (32)	Homo sapiens
2758488	1489425	645387	4263571	570415	HpV32gp2	-	E7	RPL6P27	-	RPL6_10_1582	Two-hybrid	physical	Neveu G (2012)	PUBMED:22898364	333763	9606	High Throughput	-	-	-	-	BIOGRID	P36827	-	NP_041802	-	-	-	-	-	-	-	-	-	Human papillomavirus (32)	Homo sapiens
2758492	1489425	4282	4263571	110428	HpV32gp2	-	E7	MIF	-	GIF|GLIF|MMIF	Two-hybrid	physical	Neveu G (2012)	PUBMED:22898364	333763	9606	High Throughput	-	-	-	-	BIOGRID	P36827	-	NP_041802	P14174	I4AY87	NP_002406	-	-	-	-	-	-	Human papillomavirus (32)	Homo sapiens
2758495	1489425	57680	4263571	121709	HpV32gp2	-	E7	CHD8	-	AUTS18|HELSNF1	Two-hybrid	physical	Neveu G (2012)	PUBMED:22898364	333763	9606	High Throughput	-	-	-	-	BIOGRID	P36827	-	NP_041802	Q9HCK8	-	NP_001164100|NP_065971	-	-	-	-	-	-	Human papillomavirus (32)	Homo sapiens
2758500	1489425	64763	4263571	122276	HpV32gp2	-	E7	ZNF574	-	FP972	Two-hybrid	physical	Neveu G (2012)	PUBMED:22898364	333763	9606	High Throughput	-	-	-	-	BIOGRID	P36827	-	NP_041802	Q6ZN55	Q71MF7	NP_001317448|NP_073589	-	-	-	-	-	-	Human papillomavirus (32)	Homo sapiens
