#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
668398	25939	1490006	117436	3509203	RP1-132F21.1	SIVgp3	SAMHD1	vpx	CHBL2|DCIP|HDDC1|MOP-5|SBBI88	-	Affinity Capture-Western	physical	Ahn J (2012)	PUBMED:22362772	9606	11723	Low Throughput	-	-	-	-	BIOGRID	Q9Y3Z3	Q59H15	NP_001350662|NP_056289|NP_001350658	Q02842	-	NP_054371	-	-	-	-	-	-	Homo sapiens	Simian Immunodeficiency Virus
677910	1490006	9730	3509203	115079	SIVgp3	-	vpx	VPRBP	-	DCAF1	Affinity Capture-Western	physical	Pertel T (2011)	PUBMED:21696578	11723	9606	Low Throughput	-	-	-	-	BIOGRID	Q02842	-	NP_054371	Q9Y4B6	-	NP_055518|NP_001336097|NP_001165375|NP_001336100|NP_001336099|NP_001336098	-	-	-	-	-	-	Simian Immunodeficiency Virus	Homo sapiens
678094	1490009	11059	3509206	116243	SIVgp1	-	gag-pol	WWP1	-	AIP5|Tiul1|hSDRP1	Two-hybrid	physical	Heidecker G (2004)	PUBMED:15163754	11723	9606	Low Throughput	-	-	figure 6. HTLV-1 late motif interacts with WW domains of WWP1, but not TSG101.	-	BIOGRID	Q02843	Q6LDM5	NP_054369|NP_687035	Q9H0M0	-	NP_008944	-	-	-	-	-	-	Simian Immunodeficiency Virus	Homo sapiens
678095	7251	1490009	113102	3509206	-	SIVgp1	TSG101	gag-pol	TSG10|VPS23	-	Two-hybrid	physical	Heidecker G (2004)	PUBMED:15163754	9606	11723	Low Throughput	-	-	table 1.	-	BIOGRID	Q99816	-	NP_006283	Q02843	Q6LDM5	NP_054369|NP_687035	-	-	-	-	-	-	Homo sapiens	Simian Immunodeficiency Virus
692207	1490006	1642	3509203	108009	SIVgp3	-	vpx	DDB1	-	DDBA|UV-DDB1|XAP1|XPCE|XPE|XPE-BF	Affinity Capture-MS	physical	Srivastava S (2008)	PUBMED:18464893	11723	9606	Low Throughput	-	-	-	-	BIOGRID	Q02842	-	NP_054371	Q16531	-	NP_001914	-	-	-	-	-	-	Simian Immunodeficiency Virus	Homo sapiens
692208	1490006	9730	3509203	115079	SIVgp3	-	vpx	VPRBP	-	DCAF1	Affinity Capture-MS	physical	Srivastava S (2008)	PUBMED:18464893	11723	9606	Low Throughput	-	-	-	-	BIOGRID	Q02842	-	NP_054371	Q9Y4B6	-	NP_055518|NP_001336097|NP_001165375|NP_001336100|NP_001336099|NP_001336098	-	-	-	-	-	-	Simian Immunodeficiency Virus	Homo sapiens
692209	1490006	79016	3509203	122485	SIVgp3	-	vpx	DDA1	-	C19orf58|PCIA1	Affinity Capture-MS	physical	Srivastava S (2008)	PUBMED:18464893	11723	9606	Low Throughput	-	-	-	-	BIOGRID	Q02842	-	NP_054371	Q9BW61	A0A024R7J7	NP_076955	-	-	-	-	-	-	Simian Immunodeficiency Virus	Homo sapiens
692210	1490006	1642	3509203	108009	SIVgp3	-	vpx	DDB1	-	DDBA|UV-DDB1|XAP1|XPCE|XPE|XPE-BF	Affinity Capture-Western	physical	Srivastava S (2008)	PUBMED:18464893	11723	9606	Low Throughput	-	-	-	-	BIOGRID	Q02842	-	NP_054371	Q16531	-	NP_001914	-	-	-	-	-	-	Simian Immunodeficiency Virus	Homo sapiens
692211	1490006	9730	3509203	115079	SIVgp3	-	vpx	VPRBP	-	DCAF1	Affinity Capture-Western	physical	Srivastava S (2008)	PUBMED:18464893	11723	9606	Low Throughput	-	-	-	-	BIOGRID	Q02842	-	NP_054371	Q9Y4B6	-	NP_055518|NP_001336097|NP_001165375|NP_001336100|NP_001336099|NP_001336098	-	-	-	-	-	-	Simian Immunodeficiency Virus	Homo sapiens
692212	1490006	79016	3509203	122485	SIVgp3	-	vpx	DDA1	-	C19orf58|PCIA1	Affinity Capture-Western	physical	Srivastava S (2008)	PUBMED:18464893	11723	9606	Low Throughput	-	-	-	-	BIOGRID	Q02842	-	NP_054371	Q9BW61	A0A024R7J7	NP_076955	-	-	-	-	-	-	Simian Immunodeficiency Virus	Homo sapiens
