#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
504606	542425	541915	951642	951132	ZEAMMB73_397478	-	pcna1	umc1775	PCNA	cycD2	Affinity Capture-Western	physical	Gutierrez R (2005)	PUBMED:15659448	4577	4577	Low Throughput	-	-	-	-	BIOGRID	Q43266	B8A1C0	NP_001105461	-	Q8S524	NP_001105048	-	-	-	-	-	-	Zea mays	Zea mays
1106200	541867	542687	951084	951902	-	ZEAMMB73_147231	akin1	SnrK1	Snf-4 like	-	PCA	physical	Lopez-Paz C (2009)	PUBMED:19450586	4577	4577	Low Throughput	-	-	-	-	BIOGRID	-	Q9FUY5|B8A0Q9	NP_001105005	-	Q6RXY1	NP_001105673	-	-	-	-	-	-	Zea mays	Zea mays
1106201	541867	541867	951084	951084	-	-	akin1	akin1	Snf-4 like	Snf-4 like	Reconstituted Complex	physical	Lopez-Paz C (2009)	PUBMED:19450586	4577	4577	Low Throughput	-	-	-	-	BIOGRID	-	Q9FUY5|B8A0Q9	NP_001105005	-	Q9FUY5|B8A0Q9	NP_001105005	-	-	-	-	-	-	Zea mays	Zea mays
1106202	541867	541867	951084	951084	-	-	akin1	akin1	Snf-4 like	Snf-4 like	Co-purification	physical	Lopez-Paz C (2009)	PUBMED:19450586	4577	4577	Low Throughput	-	-	-	-	BIOGRID	-	Q9FUY5|B8A0Q9	NP_001105005	-	Q9FUY5|B8A0Q9	NP_001105005	-	-	-	-	-	-	Zea mays	Zea mays
1107431	103630348	828791	2488196	14078	ZEAMMB73_831662	AT4G26840	LOC103630348	SUMO1	-	ARABIDOPSIS THALIANA SMALL UBIQUITIN-LIKE MODIFIER 1|ATSUMO1|F10M23.180|F10M23_180|SMALL UBIQUITIN-LIKE MODIFIER 1|SUM1|SUMO 1	Far Western	physical	Nelis S (2015)	PUBMED:25761145	4577	3702	Low Throughput	-	-	-	-	BIOGRID	-	A0A096SYJ9		P55852	-	NP_194414	-	-	-	-	-	-	Zea mays	Arabidopsis thaliana (Columbia)
1114875	542391	819549	951608	4884	ZEAMMB73_429917	AT3G03960	kn1	AT3G03960	KN-1	T11I18.7|T11I18_7	Affinity Capture-Western	physical	Xu XM (2011)	PUBMED:21868675	4577	3702	Low Throughput	-	-	-	-	BIOGRID	P24345	Q53ZF1	NP_001105436	-	Q94K05	NP_566219	-	-	-	-	-	-	Zea mays	Arabidopsis thaliana (Columbia)
1114878	542391	820356	951608	5690	ZEAMMB73_429917	AT3G11830	kn1	AT3G11830	KN-1	-	Affinity Capture-Western	physical	Xu XM (2011)	PUBMED:21868675	4577	3702	Low Throughput	-	-	-	-	BIOGRID	P24345	Q53ZF1	NP_001105436	-	F4J7H2|Q9SF16	NP_187789|NP_001189863	-	-	-	-	-	-	Zea mays	Arabidopsis thaliana (Columbia)
1115293	100384477	542384	1027822	951601	ZEAMMB73_631197	-	CK2	esp1	-	-	Biochemical Activity	physical	Amara I (2012)	PUBMED:22199372	4577	4577	Low Throughput	-	Phosphorylation	-	-	BIOGRID	-	C3UZ62	NP_001170479	P46517	-	NP_001105429	-	-	-	-	-	-	Zea mays	Zea mays
1115294	841321	542373	26546	951590	AT1G48990	-	AT1G48990	dhn1	F27J15.22|F27J15_22	RAB-17|lea2|rab17	Affinity Capture-Western	physical	Amara I (2012)	PUBMED:22199372	3702	4577	Low Throughput	-	-	-	-	BIOGRID	-	Q9M9A1	NP_175329	-	A7RDP0	NP_001105419	-	-	-	-	-	-	Arabidopsis thaliana (Columbia)	Zea mays
1428757	100125650	103637824	952552	2495672	-	-	bif2	LOC103637824	-	-	Biochemical Activity	physical	Skirpan A (2009)	PUBMED:19153156	4577	4577	Low Throughput	-	Phosphorylation	-	-	BIOGRID	-	A6MW92	NP_001106051	-	Q0MWY2		-	-	-	-	-	-	Zea mays	Zea mays
