#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
591319	100009298	852088	1172319	32529	-	YDR477W	PPP1CA	SNF1	PPP1A	CAT1|CCR1|GLC2|HAF3|PAS14|AMP-activated serine/threonine-protein kinase catalytic subunit SNF1|L000001944	Biochemical Activity	physical	Chandrashekarappa DG (2011)	PUBMED:22065577	9986	559292	Low Throughput	-	Dephosphorylation	-	-	BIOGRID	P62139	-	NP_001095176	P06782	-	NP_010765	-	-	-	-	-	-	Oryctolagus cuniculus	Saccharomyces cerevisiae (S288c)
603679	100355961	10963	1191761	116162	-	-	HSPA14	STIP1	-	HEL-S-94n|HOP|IEF-SSP-3521|P60|STI1|STI1L	Reconstituted Complex	physical	Dittmar KD (1997)	PUBMED:9148915	9986	9606	Low Throughput	-	-	-	-	BIOGRID	-	G1T495		P31948	V9HW72	NP_001269581|NP_001269582|NP_006810	-	-	-	-	-	-	Oryctolagus cuniculus	Homo sapiens
603680	100358690	10963	1194477	116162	-	-	HSP90AB1	STIP1	-	HEL-S-94n|HOP|IEF-SSP-3521|P60|STI1|STI1L	Reconstituted Complex	physical	Dittmar KD (1997)	PUBMED:9148915	9986	9606	Low Throughput	-	-	-	-	BIOGRID	-	-		P31948	V9HW72	NP_001269581|NP_001269582|NP_006810	-	-	-	-	-	-	Oryctolagus cuniculus	Homo sapiens
603681	100008890	10963	1171913	116162	-	-	NR3C1	STIP1	-	HEL-S-94n|HOP|IEF-SSP-3521|P60|STI1|STI1L	Reconstituted Complex	physical	Dittmar KD (1997)	PUBMED:9148915	9986	9606	Low Throughput	-	-	-	-	BIOGRID	P59667	G1T1R4	NP_001075616	P31948	V9HW72	NP_001269581|NP_001269582|NP_006810	-	-	-	-	-	-	Oryctolagus cuniculus	Homo sapiens
615613	5728	100009196	111700	1172218	-	-	PTEN	SLC9A3R1	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	-	Reconstituted Complex	physical	Yang L (2011)	PUBMED:21990315	9606	9986	Low Throughput	-	-	-	-	BIOGRID	P60484	F6KD01	NP_001291646|NP_000305	Q28619	-	NP_001075814	-	-	-	-	-	-	Homo sapiens	Oryctolagus cuniculus
615752	8622104	100009581	1247107	1172600	DDB_G0279407	-	calA	TNNI2	DDBDRAFT_0205842|DDBDRAFT_0214955|DDB_0205842|DDB_0214955	TnI	Reconstituted Complex	physical	Bazari WL (1981)	PUBMED:6259174	352472	9986	Low Throughput	-	-	Dicty strain is actually AX3.	-	BIOGRID	P02599	-		P02643	-	NP_001076252	-	-	-	-	-	-	Dictyostelium discoideum (AX4)	Oryctolagus cuniculus
615753	326597	100009581	160070	1172600	BOS_19653	-	CALM	TNNI2	CALM2	TnI	Reconstituted Complex	physical	Bazari WL (1981)	PUBMED:6259174	9913	9986	Low Throughput	-	-	-	-	BIOGRID	-	F1MLH6	NP_001159980	P02643	-	NP_001076252	-	-	-	-	-	-	Bos taurus	Oryctolagus cuniculus
615756	8622104	100009581	1247107	1172600	DDB_G0279407	-	calA	TNNI2	DDBDRAFT_0205842|DDBDRAFT_0214955|DDB_0205842|DDB_0214955	TnI	Reconstituted Complex	physical	Jamieson GA (1983)	PUBMED:6667031	352472	9986	Low Throughput	-	-	Dicty strain is actually A3.	-	BIOGRID	P02599	-		P02643	-	NP_001076252	-	-	-	-	-	-	Dictyostelium discoideum (AX4)	Oryctolagus cuniculus
616016	7140	100347570	112994	1183415	-	-	TNNT3	TNNC1	TNTF	TN-C	Reconstituted Complex	physical	Jha PK (1996)	PUBMED:8987992	9606	9986	Low Throughput	-	-	-	-	BIOGRID	P45378	-	NP_001036245|NP_001284575|NP_001036247|NP_001036246|NP_006748	P02591	-		-	-	-	-	-	-	Homo sapiens	Oryctolagus cuniculus
616017	7140	100009581	112994	1172600	-	-	TNNT3	TNNI2	TNTF	TnI	Reconstituted Complex	physical	Jha PK (1996)	PUBMED:8987992	9606	9986	Low Throughput	-	-	-	-	BIOGRID	P45378	-	NP_001036245|NP_001284575|NP_001036247|NP_001036246|NP_006748	P02643	-	NP_001076252	-	-	-	-	-	-	Homo sapiens	Oryctolagus cuniculus
