#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
863481	853242	576779	33567	627562	YJL197W	-	UBP12	LOC576779	L000003033	-	Biochemical Activity	physical	Schaefer JB (2011)	PUBMED:22072716	559292	7668	Low Throughput	-	Deubiquitination	Shows strong deubiquitination activity towards substrates with long and short ubiquitin chains	-	BIOGRID	P39538	-	NP_012338	-	W4YHN9	NP_001028696	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Strongylocentrotus purpuratus
863482	855535	576779	35647	627562	YNL186W	-	UBP10	LOC576779	DOT4|L000004391|L000004588	-	Biochemical Activity	physical	Schaefer JB (2011)	PUBMED:22072716	559292	7668	Low Throughput	-	Deubiquitination	-	-	BIOGRID	P53874	-	NP_014213	-	W4YHN9	NP_001028696	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Strongylocentrotus purpuratus
863483	856895	576779	36901	627562	YER151C	-	UBP3	LOC576779	BLM3|mRNA-binding ubiquitin-specific protease UBP3|L000002417|S000086717	-	Biochemical Activity	physical	Schaefer JB (2011)	PUBMED:22072716	559292	7668	Low Throughput	-	Deubiquitination	-	-	BIOGRID	Q01477	-	NP_011078	-	W4YHN9	NP_001028696	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Strongylocentrotus purpuratus
863484	854291	576779	34519	627562	YOR124C	-	UBP2	LOC576779	L000002416	-	Biochemical Activity	physical	Schaefer JB (2011)	PUBMED:22072716	559292	7668	Low Throughput	-	Deubiquitination	-	-	BIOGRID	Q01476	-	NP_014767	-	W4YHN9	NP_001028696	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Strongylocentrotus purpuratus
863485	851435	576779	31941	627562	YDL122W	-	UBP1	LOC576779	L000002415	-	Biochemical Activity	physical	Schaefer JB (2011)	PUBMED:22072716	559292	7668	Low Throughput	-	Deubiquitination	-	-	BIOGRID	P25037	-	NP_010161	-	W4YHN9	NP_001028696	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Strongylocentrotus purpuratus
863492	852881	576779	33242	627562	YGL003C	-	CDH1	LOC576779	HCT1|L000004229	-	Biochemical Activity	physical	Schaefer JB (2011)	PUBMED:22072716	559292	7668	Low Throughput	-	Ubiquitination	Cdh1 brokers the ubiquitination of purple urchin Cyclin B in vitro by the APC/C	-	BIOGRID	P53197	-	NP_011512	-	W4YHN9	NP_001028696	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Strongylocentrotus purpuratus
863497	855350	576779	35484	627562	YMR304W	-	UBP15	LOC576779	L000004589	-	Biochemical Activity	physical	Schaefer JB (2011)	PUBMED:22072716	559292	7668	Low Throughput	-	Deubiquitination	Pds1 fragment 1-110|Ubp15 cleaves mono-ubiquitin and short chains faster than longer ubiquitin chains	-	BIOGRID	P50101	-	NP_014033	-	W4YHN9	NP_001028696	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Strongylocentrotus purpuratus
863499	7874	576779	113622	627562	-	-	USP7	LOC576779	HAUSP|TEF1	-	Biochemical Activity	physical	Schaefer JB (2011)	PUBMED:22072716	9606	7668	Low Throughput	-	Deubiquitination	Usp7 preferentially cleaves mono-ubiquitin and short chains	-	BIOGRID	Q93009	B7ZAX6|Q6U8A4|B7Z855	NP_001308787|NP_003461|NP_001273387|NP_001273386	-	W4YHN9	NP_001028696	-	-	-	-	-	-	Homo sapiens	Strongylocentrotus purpuratus
863550	850562	576779	31160	627562	YFR010W	-	UBP6	LOC576779	L000004586	-	Biochemical Activity	physical	Schaefer JB (2011)	PUBMED:22072716	559292	7668	Low Throughput	-	Deubiquitination	-	-	BIOGRID	P43593	-	NP_116665	-	W4YHN9	NP_001028696	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Strongylocentrotus purpuratus
863551	854650	576779	34836	627562	YIL156W	-	UBP7	LOC576779	L000003169	-	Biochemical Activity	physical	Schaefer JB (2011)	PUBMED:22072716	559292	7668	Low Throughput	-	Deubiquitination	-	-	BIOGRID	P40453	-	NP_012110	-	W4YHN9	NP_001028696	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Strongylocentrotus purpuratus
863552	855263	576779	35401	627562	YMR223W	-	UBP8	LOC576779	ubiquitin-specific protease UBP8|L000004587	-	Biochemical Activity	physical	Schaefer JB (2011)	PUBMED:22072716	559292	7668	Low Throughput	-	Deubiquitination	-	-	BIOGRID	P50102	-	NP_013950	-	W4YHN9	NP_001028696	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Strongylocentrotus purpuratus
