#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
2656304	14254594	1803	4383879	108137	G128_gp02	-	S	DPP4	spike|MERS-CoV S|MERS-CoV spike|S protein|surface|SPIKE_CVEMC|PRO_0000422465	ADABP|ADCP2|CD26|DPPIV|TP103	Reconstituted Complex	physical	Tai W (2020)	PUBMED:32203189	1335626	9606	Low Throughput	-	-	-	-	BIOGRID	K9N5Q8	-	YP_009047204	P27487	-	NP_001926	-	-	-	-	-	-	Middle-East Respiratory Syndrome-related Coronavirus	Homo sapiens
2658348	14254602	25898	4383888	117406	G128_gp01ab_nsp3	-	nsp3ab	RCHY1	ORF1ab|nsp3|rep|1AB|MERS-CoV nsp3|orf1ab-nsp3|orf1ab-nsp3ab|nsp3ab|Papain-like proteinase|R1AB_CVEMC|PRO_0000422441	ARNIP|CHIMP|PIRH2|PRO1996|RNF199|ZCHY|ZNF363	Affinity Capture-Western	physical	Ma-Lauer Y (2016)	PUBMED:27519799	1335626	9606	Low Throughput	-	-	-	-	BIOGRID	K9N7C7	-	YP_009047215	Q96PM5	-	NP_056251|NP_001265468|NP_001265467|NP_001265466|NP_001265465|NP_001009922	-	-	-	-	-	-	Middle-East Respiratory Syndrome-related Coronavirus	Homo sapiens
2660136	7706	14254601	113500	4383878	-	G128_gp09	TRIM25	N	EFP|RNF147|Z147|ZNF147	nuc|nucleocapsid|MERS-CoV N|N protein|ncap|NCAP_CVEMC|PRO_0000422434	Affinity Capture-Western	physical	Hu Y (2017)	PUBMED:28148787	9606	1335626	Low Throughput	-	-	-	-	BIOGRID	Q14258	-	NP_005073	K9N4V7	-	YP_009047211	-	-	-	-	-	-	Homo sapiens	Middle-East Respiratory Syndrome-related Coronavirus
2660155	14254602	14254602	4383899	4383899	G128_gp01ab_nsp15	G128_gp01ab_nsp15	nsp15ab	nsp15ab	ORF1ab|nsp15|rep|1AB|MERS-CoV nsp15|orf1ab-nsp15|orf1ab-nsp15ab|nsp15ab|Uridylate-specific endoribonuclease|R1AB_CVEMC|PRO_0000422452	ORF1ab|nsp15|rep|1AB|MERS-CoV nsp15|orf1ab-nsp15|orf1ab-nsp15ab|nsp15ab|Uridylate-specific endoribonuclease|R1AB_CVEMC|PRO_0000422452	Co-crystal Structure	physical	Zhang L (2018)	PUBMED:30135128	1335626	1335626	Low Throughput	-	-	-	-	BIOGRID	K9N7C7	-	YP_009047226	K9N7C7	-	YP_009047226	-	-	-	-	-	-	Middle-East Respiratory Syndrome-related Coronavirus	Middle-East Respiratory Syndrome-related Coronavirus
2660156	14254602	14254602	4383899	4383899	G128_gp01ab_nsp15	G128_gp01ab_nsp15	nsp15ab	nsp15ab	ORF1ab|nsp15|rep|1AB|MERS-CoV nsp15|orf1ab-nsp15|orf1ab-nsp15ab|nsp15ab|Uridylate-specific endoribonuclease|R1AB_CVEMC|PRO_0000422452	ORF1ab|nsp15|rep|1AB|MERS-CoV nsp15|orf1ab-nsp15|orf1ab-nsp15ab|nsp15ab|Uridylate-specific endoribonuclease|R1AB_CVEMC|PRO_0000422452	Reconstituted Complex	physical	Zhang L (2018)	PUBMED:30135128	1335626	1335626	Low Throughput	-	-	-	-	BIOGRID	K9N7C7	-	YP_009047226	K9N7C7	-	YP_009047226	-	-	-	-	-	-	Middle-East Respiratory Syndrome-related Coronavirus	Middle-East Respiratory Syndrome-related Coronavirus
2660157	14254602	14254602	4383899	4383893	G128_gp01ab_nsp15	G128_gp01ab_nsp8	nsp15ab	nsp8ab	ORF1ab|nsp15|rep|1AB|MERS-CoV nsp15|orf1ab-nsp15|orf1ab-nsp15ab|nsp15ab|Uridylate-specific endoribonuclease|R1AB_CVEMC|PRO_0000422452	ORF1ab|nsp8|rep|1AB|MERS-CoV nsp8|orf1ab-nsp8|orf1ab-nsp8ab|nsp8ab|R1AB_CVEMC|PRO_0000422446	Reconstituted Complex	physical	Zhang L (2018)	PUBMED:30135128	1335626	1335626	Low Throughput	-	-	-	-	BIOGRID	K9N7C7	-	YP_009047226	K9N7C7	-	YP_009047220	-	-	-	-	-	-	Middle-East Respiratory Syndrome-related Coronavirus	Middle-East Respiratory Syndrome-related Coronavirus
2661824	5045	14254594	111082	4383879	-	G128_gp02	FURIN	S	FUR|PACE|PCSK3|SPC1	spike|MERS-CoV S|MERS-CoV spike|S protein|surface|SPIKE_CVEMC|PRO_0000422465	Biochemical Activity	physical	Bestle D (2020)	DOI:10.1101/2020.04.15.042085	9606	1335626	Low Throughput	-	Proteolytic Processing	Furin processes the S1/S2 site of the coronavirus Spike protein.|The viral Spike (S) protein must be cleaved to trigger fusion of viral and cellular membranes during virus entry in order to release the virus genome into the host cell.	-	BIOGRID	P09958	A0A024RC70	NP_001369550|NP_001369549|NP_001369548|NP_002560|NP_001276753|NP_001276752	K9N5Q8	-	YP_009047204	-	-	-	-	-	-	Homo sapiens	Middle-East Respiratory Syndrome-related Coronavirus
2661825	7113	14254594	112968	4383879	-	G128_gp02	TMPRSS2	S	PP9284|PRSS10	spike|MERS-CoV S|MERS-CoV spike|S protein|surface|SPIKE_CVEMC|PRO_0000422465	Biochemical Activity	physical	Bestle D (2020)	DOI:10.1101/2020.04.15.042085	9606	1335626	Low Throughput	-	Proteolytic Processing	MPRSS2 processes the  S2' site of the coronavirus Spike protein.|The viral Spike (S) protein must be cleaved to trigger fusion of viral and cellular membranes during virus entry in order to release the virus genome into the host cell.	-	BIOGRID	O15393	-	NP_001128571|NP_005647	K9N5Q8	-	YP_009047204	-	-	-	-	-	-	Homo sapiens	Middle-East Respiratory Syndrome-related Coronavirus
2692754	14254594	1048	4383879	107478	G128_gp02	-	S	CEACAM5	spike|MERS-CoV S|MERS-CoV spike|S protein|surface|SPIKE_CVEMC|PRO_0000422465	CD66e|CEA	Reconstituted Complex	physical	Chan CM (2016)	PUBMED:27489282	1335626	9606	Low Throughput	-	-	-	-	BIOGRID	K9N5Q8	-	YP_009047204	P06731	A0A024R0K5|Q68DM9|Q53G30	NP_004354|NP_001278413	-	-	-	-	-	-	Middle-East Respiratory Syndrome-related Coronavirus	Homo sapiens
2692756	14254594	1048	4383879	107478	G128_gp02	-	S	CEACAM5	spike|MERS-CoV S|MERS-CoV spike|S protein|surface|SPIKE_CVEMC|PRO_0000422465	CD66e|CEA	Affinity Capture-Western	physical	Chan CM (2016)	PUBMED:27489282	1335626	9606	Low Throughput	-	-	-	-	BIOGRID	K9N5Q8	-	YP_009047204	P06731	A0A024R0K5|Q68DM9|Q53G30	NP_004354|NP_001278413	-	-	-	-	-	-	Middle-East Respiratory Syndrome-related Coronavirus	Homo sapiens
