#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
2655828	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Li W (2007)	PUBMED:17631932	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2655829	1489680	1489680	4383938	4383938	SARS-CoV-1ab	SARS-CoV-1ab	ORF1ab	ORF1ab	1a-1b|rep|1ab|SARS-CoV orf1ab|pp1ab|Replicase polyprotein 1ab|R1AB_CVHSA	1a-1b|rep|1ab|SARS-CoV orf1ab|pp1ab|Replicase polyprotein 1ab|R1AB_CVHSA	Co-crystal Structure	physical	Barrila J (2010)	PUBMED:20420403	694009	694009	Low Throughput	-	-	homodimerization	-	BIOGRID	P0C6X7	-	NP_828849	P0C6X7	-	NP_828849	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
2655830	100772552	1489668	1636295	4383915	-	SARS-CoV-2	Ace2	S	-	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Guillon P (2008)	PUBMED:18818423	10029	694009	Low Throughput	-	-	-	-	BIOGRID	-	A0A061HZ66		P59594	-	NP_828851	-	-	-	-	-	-	Cricetulus griseus	Severe acute respiratory syndrome-related coronavirus
2656269	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Li F (2006)	PUBMED:16809285	694009	9606	Low Throughput	-	-	Soluble ACE2 binds both monomers and trimers of S-e	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2656270	1489668	1489668	4383915	4383915	SARS-CoV-2	SARS-CoV-2	S	S	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Li F (2006)	PUBMED:16809285	694009	694009	Low Throughput	-	-	forms trimers in vitro	-	BIOGRID	P59594	-	NP_828851	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
2656271	1489678	1489672	4383916	4383913	SARS-CoV-9a	SARS-CoV-5	N	M	ORF9a|9a|nuc|nucleocapsid|ncap|SARS-CoV N|N protein|SARS-CoV Nuc|Nucleoprotein|NC|NCAP_CVHSA|PRO_0000106003	ORF5|5|matrix protein|mem|M protein|SARS-CoV M|SARS-CoV Mem|matrix|membrane|VME1_CVHSA|PRO_0000106035	Two-hybrid	physical	He R (2004)	PUBMED:15351485	694009	694009	Low Throughput	-	-	-	-	BIOGRID	P59595	-	NP_828858	P59596	-	NP_828855	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
2656272	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	He Y (2004)	PUBMED:15474494	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2656273	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Hofmann H (2006)	PUBMED:16912312	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2656275	1489671	598	4383914	107070	SARS-CoV-4	RP5-857M17.3	E	BCL2L1	ORF4|sM|4|protein E|protein sM|small envelope protein|env|envelope|SARS-CoV E|SARS-CoV Env|VEMP_CVHSA|PRO_0000106074	BCL-XL/S|BCL2L|BCLX|BCLXL|BCLXS|Bcl-X|PPP1R52|bcl-xL|bcl-xS	Reconstituted Complex	physical	Yang Y (2005)	PUBMED:16048439	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59637	-	NP_828854	Q07817	Q5TE63	NP_612815|NP_001309171|NP_001309169|NP_001309168|NP_001304850|NP_001182|NP_001304849|NP_001304848	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2656303	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Tai W (2020)	PUBMED:32203189	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
