#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
245512	474675	403527	140402	139454	-	-	KIF3A	TMEM245	-	C11H9orf5|C9orf5	Affinity Capture-Western	physical	Jimbo T (2002)	PUBMED:11912492	9615	9615	Low Throughput	-	-	-	-	BIOGRID	-	-		-	F6XY57		-	-	-	-	-	-	Canis familiaris	Canis familiaris
245513	485830	403527	151546	139454	-	-	KIF3B	TMEM245	-	C11H9orf5|C9orf5	Affinity Capture-Western	physical	Jimbo T (2002)	PUBMED:11912492	9615	9615	Low Throughput	-	-	-	-	BIOGRID	-	E2QUS2		-	F6XY57		-	-	-	-	-	-	Canis familiaris	Canis familiaris
275683	282307	442985	159569	140028	BOS_19690	-	PIK3R1	PDGFRB	-	PDGFR-1	Reconstituted Complex	physical	McGlade CJ (1992)	PUBMED:1372092	9913	9615	Low Throughput	-	-	-	-	BIOGRID	P23727	-	NP_777000	Q6QNF3	F1PE35	NP_001003382	-	-	-	-	-	-	Bos taurus	Canis familiaris
303013	609752	609752	537869	537869	-	-	HSBP1	HSBP1	-	-	Two-hybrid	physical	Tai LJ (2002)	PUBMED:11679589	9615	9615	Low Throughput	-	-	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	-	-	Canis familiaris	Canis familiaris
304648	836	403944	107286	139860	-	-	CASP3	SRP72	CPP32|CPP32B|SCA-1	-	Biochemical Activity	physical	Utz PJ (1998)	PUBMED:9857079	9606	9615	Low Throughput	-	Proteolytic Processing	-	-	BIOGRID	P42574	-	NP_116786|NP_001341709|NP_001341708|NP_004337|NP_001341710|NP_001341711|NP_001341712|NP_001341713|NP_001341706	P33731	-	NP_001003264	-	-	-	-	-	-	Homo sapiens	Canis familiaris
482894	404305	7879	139936	113624	-	-	PSMA7	RAB7A	XAPC7	PRO2706|RAB7	Two-hybrid	physical	Dong J (2004)	PUBMED:14998988	9615	9606	Low Throughput	-	-	-	-	BIOGRID	-	-		P51149	-	NP_004628	-	-	-	-	-	-	Canis familiaris	Homo sapiens
555768	486552	610457	152267	538545	-	-	AQP2	UBC	AQP-2|AQP-CD|WCH-CD	-	Affinity Capture-Western	physical	Kamsteeg EJ (2006)	PUBMED:17101973	9615	9615	Low Throughput	-	-	-	-	BIOGRID	-	J9P2Y9		-	J9NVT1		-	-	-	-	-	-	Canis familiaris	Canis familiaris
606123	359	610457	106855	538545	-	-	AQP2	UBC	AQP-CD|WCH-CD	-	Affinity Capture-Western	physical	Boone M (2011)	PUBMED:21209006	9606	9615	Low Throughput	-	-	likely ubiquitin conjugate	-	BIOGRID	P41181	-	NP_000477	-	J9NVT1		-	-	-	-	-	-	Homo sapiens	Canis familiaris
616252	64563	483489	249144	149208	-	-	Nphs1	CTNND1	-	-	Affinity Capture-Western	physical	Lehtonen S (2004)	PUBMED:15331416	10116	9615	Low Throughput	-	-	-	-	BIOGRID	Q9R044	-	NP_072150	-	-		-	-	-	-	-	-	Rattus norvegicus	Canis familiaris
616253	64563	483489	249144	149208	-	-	Nphs1	CTNND1	-	-	Reconstituted Complex	physical	Lehtonen S (2004)	PUBMED:15331416	10116	9615	Low Throughput	-	-	-	-	BIOGRID	Q9R044	-	NP_072150	-	-		-	-	-	-	-	-	Rattus norvegicus	Canis familiaris
