#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
470901	155807	10992	1205540	116188	HIV1gp4	-	vpr	SF3B2	-	Cus1|SAP145|SF3B145|SF3b1|SF3b150	Affinity Capture-Western	physical	Terada Y (2006)	PUBMED:16923959	11676	9606	Low Throughput	-	-	HIV 1: Protein VPR	-	BIOGRID	-	-	NP_057852	Q13435	-	NP_006833	-	-	-	-	-	-	Human Immunodeficiency Virus 1	Homo sapiens
470902	155807	10992	1205540	116188	HIV1gp4	-	vpr	SF3B2	-	Cus1|SAP145|SF3B145|SF3b1|SF3b150	Two-hybrid	physical	Terada Y (2006)	PUBMED:16923959	11676	9606	Low Throughput	-	-	HIV 1: Protein VPR	-	BIOGRID	-	-	NP_057852	Q13435	-	NP_006833	-	-	-	-	-	-	Human Immunodeficiency Virus 1	Homo sapiens
470903	155807	10992	1205540	116188	HIV1gp4	-	vpr	SF3B2	-	Cus1|SAP145|SF3B145|SF3b1|SF3b150	Reconstituted Complex	physical	Terada Y (2006)	PUBMED:16923959	11676	9606	Low Throughput	-	-	HIV 1: Protein VPR	-	BIOGRID	-	-	NP_057852	Q13435	-	NP_006833	-	-	-	-	-	-	Human Immunodeficiency Virus 1	Homo sapiens
470905	10992	155807	116188	1205540	-	HIV1gp4	SF3B2	vpr	Cus1|SAP145|SF3B145|SF3b1|SF3b150	-	Reconstituted Complex	physical	Terada Y (2006)	PUBMED:16923959	9606	11676	Low Throughput	-	-	HIV 1: Protein VPR	-	BIOGRID	Q13435	-	NP_006833	-	-	NP_057852	-	-	-	-	-	-	Homo sapiens	Human Immunodeficiency Virus 1
470985	155871	904	1205541	107343	HIV1gp5	-	tat	CCNT1	-	CCNT|CYCT1|HIVE1	Affinity Capture-Western	physical	Agbottah E (2006)	PUBMED:16893449	11676	9606	Low Throughput	-	-	HIV 1: Protein Tat	-	BIOGRID	P04608	-	NP_057853	O60563	A8K4M5	NP_001264771|NP_001231	-	-	-	-	-	-	Human Immunodeficiency Virus 1	Homo sapiens
470986	155871	6597	1205541	112481	HIV1gp5	-	tat	SMARCA4	-	BAF190|BAF190A|BRG1|MRD16|RTPS2|SNF2|SNF2L4|SNF2LB|SWI2|hSNF2b	Affinity Capture-Western	physical	Agbottah E (2006)	PUBMED:16893449	11676	9606	Low Throughput	-	-	HIV 1: Protein Tat	-	BIOGRID	P04608	-	NP_057853	P51532	A7E2E1|Q9HBD4|B3KNW7	NP_003063|NP_001122319|NP_001122318|NP_001122317|NP_001122316|NP_001122320|NP_001122321|NP_001361386	-	-	-	-	-	-	Human Immunodeficiency Virus 1	Homo sapiens
470987	155871	6597	1205541	112481	HIV1gp5	-	tat	SMARCA4	-	BAF190|BAF190A|BRG1|MRD16|RTPS2|SNF2|SNF2L4|SNF2LB|SWI2|hSNF2b	Reconstituted Complex	physical	Agbottah E (2006)	PUBMED:16893449	11676	9606	Low Throughput	-	-	HIV 1: Protein Tat	-	BIOGRID	P04608	-	NP_057853	P51532	A7E2E1|Q9HBD4|B3KNW7	NP_003063|NP_001122319|NP_001122318|NP_001122317|NP_001122316|NP_001122320|NP_001122321|NP_001361386	-	-	-	-	-	-	Human Immunodeficiency Virus 1	Homo sapiens
470988	155871	6598	1205541	112482	HIV1gp5	-	tat	SMARCB1	-	BAF47|INI1|MRD15|PPP1R144|RDT|RTPS1|SNF5|SNF5L1|SWNTS1|Sfh1p|Snr1|hSNFS	Affinity Capture-Western	physical	Ariumi Y (2006)	PUBMED:16889668	11676	9606	Low Throughput	-	-	HIV 1: Protein Tat	-	BIOGRID	P04608	-	NP_057853	Q12824	Q9H836	NP_001349806|NP_001304875|NP_001007469|NP_003064	-	-	-	-	-	-	Human Immunodeficiency Virus 1	Homo sapiens
470989	6598	155871	112482	1205541	-	HIV1gp5	SMARCB1	tat	BAF47|INI1|MRD15|PPP1R144|RDT|RTPS1|SNF5|SNF5L1|SWNTS1|Sfh1p|Snr1|hSNFS	-	Affinity Capture-Western	physical	Ariumi Y (2006)	PUBMED:16889668	9606	11676	Low Throughput	-	-	HIV 1: Protein Tat	-	BIOGRID	Q12824	Q9H836	NP_001349806|NP_001304875|NP_001007469|NP_003064	P04608	-	NP_057853	-	-	-	-	-	-	Homo sapiens	Human Immunodeficiency Virus 1
478314	155871	904	1205541	107343	HIV1gp5	-	tat	CCNT1	-	CCNT|CYCT1|HIVE1	Reconstituted Complex	physical	Gautier VW (2009)	PUBMED:19454010	11676	9606	Low Throughput	-	-	HIV 1: Protein TAT|This interaction was only shown in an in vitro GST pull-down experiment involving various salt washes followed by Western-blotting analysis.  It was not detected in the GST pull-down followed by mass spectrometric analysis.	-	BIOGRID	P04608	-	NP_057853	O60563	A8K4M5	NP_001264771|NP_001231	-	-	-	-	-	-	Human Immunodeficiency Virus 1	Homo sapiens
